15d0   2.7788d-1
16d0   2.7943d-1
17d0   2.5967d-1
18d0   2.5914d-1
19d0   2.5953d-1
20d0   2.1900d-1
21d0   2.4966d-1
22d0   3.1115d-1
23d0   2.4130d-1
24d0   2.2263d-1
25d0   1.9938d-1
26d0   1.9969d-1
27d0   1.9943d-1
28d0   2.4975d-1
29d0   2.3231d-1
30d0   3.2979d-1
31d0   3.2550d-1
32d0   3.7636d-1
33d0   3.1250d-1
34d0   2.1649d-1
35d0   1.9953d-1
36d0   3.1271d-1
37d0   1.9927d-1
38d0   2.9929d-1
39d0   2.7709d-1
40d0   1.9937d-1
41d0   1.7905d-1
42d0   1.7951d-1
43d0   2.0785d-1
44d0   2.1966d-1
45d0   1.6935d-1
46d0   3.3910d-1
47d0   4.3967d-1
48d0   2.5931d-1
49d0   3.2008d-1
50d0   2.2955d-1
51d0   2.5944d-1
52d0   2.2961d-1
53d0   1.6959d-1
54d0   1.4931d-1
55d0   2.3976d-1
56d0   2.3990d-1
57d0   1.7947d-1
58d0   1.7964d-1
59d0   1.1960d-1
60d0   1.1925d-1
61d0   1.7944d-1
62.5d0 1.7944d-1
